geohash,School_Latitude,School_Longitude,Teacher_Attendance_Year_1_Pct,Teacher_Attendance_Year_2_Pct,Student_Attendance_Year_1_Pct,Student_Attendance_Year_2_Pct,Misconducts_To_Suspensions_Year_1_Pct,Misconducts_To_Suspensions_Year_2_Pct,Suspensions_Per_100_Students_Year_1_Pct,Suspensions_Per_100_Students_Year_2_Pct,Average_Length_Suspension_Year_1_Pct,Average_Length_Suspension_Year_2_Pct,Mobility_Rate_Pct,One_Year_Dropout_Rate_Year_1_Pct,One_Year_Dropout_Rate_Year_2_Pct,Freshmen_On_Track_School_Pct_Year_2,Freshmen_On_Track_School_Pct_Year_1,College_Enrollment_School_Pct_Year_2,College_Enrollment_School_Pct_Year_1,College_Persistence_School_Pct_Year_2,College_Persistence_School_Pct_Year_1,Avg_Misconduct_Rate,Avg_Suspension_Rate,Avg_Student_Attendance_Rate,Avg_Teacher_Attendance_Rate,Avg_Suspension_Days,SchoolCount,Year
dp3sy,41.65,-87.6,94.14,94.88,92.76,92.62,22.32,25.16,8.24,7.28,2.4,1.86,18.06,2.24,2.6,90.16,90.5,66.88,56.66,67.3,65.42,24.22,7.85,92.69,94.51,2.13,5,2018
dp3sz,41.65,-87.54,94.4,94.3,93.1,93.7,12.2,18.9,0.8,2.9,2.6,1.8,13.4,2.6,3.05,89.4,89.15,66.7,54.0,66.7,65.1,15.55,1.85,93.4,94.35,2.2,1,2018
dp3t5,41.69,-87.72,94.0,94.2,93.8,94.2,22.9,15.5,3.1,2.3,2.3,2.6,2.9,0.6,1.0,94.9,95.4,84.2,76.7,82.4,87.4,19.2,2.7,94.0,94.1,2.45,1,2018
dp3t7,41.74,-87.73,94.4,94.27,95.2,95.53,22.4,14.63,1.9,0.9,1.67,1.53,7.47,2.6,3.05,89.4,89.15,66.7,54.0,66.7,65.1,18.52,1.4,95.37,94.33,1.6,3,2018
dp3td,41.78,-87.78,95.15,94.88,91.47,92.5,25.08,21.0,1.97,1.48,1.72,1.4,7.78,2.92,3.59,89.28,88.41,67.15,55.97,68.08,66.32,23.44,1.8,91.98,95.02,1.56,6,2018
dp3te,41.78,-87.73,94.98,94.8,93.3,93.5,14.55,12.4,3.3,2.85,2.28,1.81,8.66,2.58,2.8,89.76,89.76,67.64,54.26,67.07,65.22,13.72,3.12,93.54,94.89,2.04,10,2018
dp3tf,41.8,-87.78,94.9,95.05,94.95,94.8,24.3,9.05,0.8,0.8,1.85,1.9,6.25,2.6,3.05,89.4,89.15,66.7,54.0,66.7,65.1,16.67,0.8,94.88,94.98,1.88,2,2018
dp3tg,41.81,-87.73,94.58,94.65,92.52,93.18,32.35,25.95,4.26,4.64,1.95,1.9,10.28,2.25,3.16,89.09,87.19,69.05,55.74,67.83,65.36,30.24,4.65,92.85,94.62,1.93,11,2018
dp3th,41.69,-87.69,95.12,94.88,95.2,95.45,20.38,18.9,1.08,1.68,1.6,1.22,4.35,2.6,3.05,89.4,89.15,66.7,54.0,66.7,65.1,20.12,1.47,95.22,95.0,1.41,5,2018
dp3tj,41.69,-87.65,94.47,95.02,92.44,93.11,24.4,14.44,7.34,4.58,1.99,2.04,22.99,4.46,5.78,88.84,89.45,63.0,51.69,65.53,63.61,19.84,6.04,92.9,94.74,2.01,17,2018
dp3tk,41.74,-87.69,94.56,94.81,88.47,91.99,16.51,9.93,2.06,1.5,1.69,1.24,9.12,6.76,7.37,89.4,89.15,60.69,49.23,65.33,65.33,15.01,2.05,90.23,94.69,1.59,7,2018
dp3tm,41.73,-87.65,94.45,94.59,93.67,93.87,25.05,24.26,5.0,4.37,1.92,1.77,13.75,2.43,2.88,89.41,89.01,66.08,55.9,66.06,64.39,25.21,4.78,93.77,94.52,1.84,26,2018
dp3tn,41.69,-87.62,94.4,94.7,94.32,94.28,18.92,19.9,4.88,3.04,1.69,1.9,13.84,2.46,3.05,84.28,89.49,68.99,58.42,68.64,68.12,21.38,4.26,94.3,94.55,1.91,8,2018
dp3tp,41.68,-87.56,94.35,94.95,95.55,95.2,10.25,6.35,2.65,1.85,1.25,1.7,15.7,2.6,3.05,89.4,89.15,66.7,54.0,66.7,65.1,8.3,2.25,95.38,94.65,1.48,2,2018
dp3tq,41.73,-87.61,94.44,94.32,89.68,90.84,23.27,17.69,6.99,5.91,1.72,1.73,25.15,6.73,7.55,87.27,86.55,62.75,48.56,65.06,62.84,21.01,6.55,90.26,94.38,1.73,18,2018
dp3tr,41.73,-87.56,94.78,94.54,91.45,92.87,18.95,24.16,5.89,5.14,1.8,1.85,20.18,2.95,3.63,88.74,87.72,62.63,52.18,62.67,62.35,22.19,5.64,92.16,94.66,1.82,19,2018
dp3ts,41.77,-87.69,94.97,94.85,91.1,91.68,36.7,33.94,5.91,5.5,1.85,1.79,19.7,7.32,6.6,90.4,90.07,60.61,51.28,65.18,66.9,34.0,5.79,91.39,94.91,1.81,22,2018
dp3tt,41.77,-87.65,94.78,94.72,90.66,90.84,21.25,21.47,8.25,7.93,1.88,1.96,26.61,5.89,6.1,88.12,88.28,63.44,53.08,61.0,63.91,22.41,8.26,90.92,94.75,1.96,24,2018
dp3tu,41.81,-87.69,94.97,95.03,93.09,93.99,14.7,18.37,1.6,1.85,1.62,1.68,8.48,3.48,4.11,89.7,88.96,65.72,52.88,67.18,63.82,17.26,1.88,93.58,95.0,1.61,32,2018
dp3tv,41.81,-87.65,94.73,95.19,91.93,92.6,31.73,20.89,10.45,7.78,1.95,1.8,20.7,4.97,5.42,87.44,86.98,63.01,50.95,64.3,61.95,26.64,9.17,92.26,94.96,1.88,22,2018
dp3tw,41.77,-87.6,94.87,94.97,91.37,92.17,27.91,27.43,6.95,5.53,1.95,1.85,23.39,4.37,4.82,88.74,88.77,65.05,53.66,66.19,64.1,28.19,6.34,91.9,94.92,1.9,23,2018
dp3tx,41.76,-87.57,95.29,95.09,86.72,86.61,26.41,27.25,13.46,5.46,1.11,1.64,26.74,6.6,6.06,89.92,90.06,64.39,51.99,66.84,64.89,27.92,9.62,86.66,95.19,1.46,10,2018
dp3ty,41.81,-87.61,94.91,95.0,91.03,91.3,30.19,25.6,12.23,8.07,2.07,2.0,15.91,3.94,4.11,89.02,89.03,67.05,55.71,64.72,63.59,28.39,10.24,91.29,94.95,2.03,29,2018
