,PropertyAddress,LAT,LON
0,"020XX S MICHIGAN AVE, Chicago, IL",41.8795845,-87.62371329999999
1,"131XX S ELLIS AVE, Chicago, IL",41.78000970000001,-87.6010543
2,"054XX S CENTRAL AVE, Chicago, IL",41.8230926,-87.763138
3,"014XX W ERIE ST, Chicago, IL",41.8935004,-87.6579588
4,"032XX N LINCOLN AVE, Chicago, IL",41.952618,-87.677464
5,"023XX S CALIFORNIA AVE, Chicago, IL",41.8425353,-87.69709080000001
6,"057XX S LOWE AVE, Chicago, IL",41.7488718,-87.640318
7,"089XX S MERRILL AVE, Chicago, IL",41.7425552,-87.5721616
8,"069XX S SANGAMON ST, Chicago, IL",41.74511140000001,-87.6475107
9,"073XX S CLAREMONT AVE, Chicago, IL",41.7464873,-87.6815929
10,"019XX W BELMONT AVE, Chicago, IL",41.9387617,-87.75176669999999
11,"020XX W ARTHUR AVE, Chicago, IL",42.0003317,-87.66117580000001
12,"051XX S UNION AVE, Chicago, IL",41.76342229999999,-87.6415021
13,"011XX W 57TH ST, Chicago, IL",41.7896047,-87.7206112
14,"051XX N MILWAUKEE AVE, Chicago, IL",41.9473987,-87.73743189999999
15,"001XX N LA CROSSE AVE, Chicago, IL",41.8781,-87.6298
16,"084XX S STONY ISLAND AVE, Chicago, IL",41.771685,-87.58663899999999
17,"049XX N LINCOLN AVE, Chicago, IL",41.9550928,-87.67942049999999
18,"047XX W HARRISON ST, Chicago, IL",41.873796,-87.69609059999999
19,"020XX W NORTH AVE, Chicago, IL",41.9091343,-87.7860307
20,"014XX W LUNT AVE, Chicago, IL",42.00894599999999,-87.682138
21,"070XX N GLENWOOD AVE, Chicago, IL",41.9922066,-87.6651954
22,"013XX W MORSE AVE, Chicago, IL",42.0073132,-87.681885
23,"027XX W DEVON AVE, Chicago, IL",41.9972989,-87.739842
24,"020XX W DIVISION ST, Chicago, IL",41.9035009,-87.6741096
25,"027XX N MARSHFIELD AVE, Chicago, IL",41.925513,-87.6698231
26,"030XX W WILSON AVE, Chicago, IL",41.9643864,-87.74608289999999
27,"0000X E WACKER DR, Chicago, IL",41.8882251,-87.6212378
28,"0000X W IDA B WELLS DR, Chicago, IL",41.8752435,-87.63112579999999
29,"010XX W 85TH ST, Chicago, IL",41.7382016,-87.7403291
30,"035XX W Belmont Ave, Chicago, IL",41.9387617,-87.75176669999999
31,"0000X E CONGRESS PKWY, Chicago, IL",41.8758199,-87.62651489999999
32,"019XX E 79TH ST, Chicago, IL",41.75150259999999,-87.5860271
33,"030XX W ARMITAGE AVE, Chicago, IL",41.9171756,-87.72776619999999
34,"009XX W Fullerton Ave, Chicago, IL",41.9244358,-87.7341124
35,"021XX W LAWRENCE AVE, Chicago, IL",41.9679915,-87.750511
36,"012XX W SUNNYSIDE AVE, Chicago, IL",41.9628726,-87.7186976
37,"009XX N LATROBE AVE, Chicago, IL",41.90223599999999,-87.75700069999999
38,"004XX E 34TH ST, Chicago, IL",41.8330618,-87.6144721
39,"017XX W ROSCOE ST, Chicago, IL",41.9426187,-87.7359019
40,"022XX N WAYNE AVE, Chicago, IL",41.9324964,-87.6623359
41,"021XX E 69TH ST, Chicago, IL",41.7698676,-87.5958635
42,"002XX N CLARK ST, Chicago, IL",41.9497958,-87.6588072
43,"074XX N OSCEOLA AVE, Chicago, IL",41.978012,-87.8131782
44,"045XX S LAKE SHORE DR SB, Chicago, IL",41.8034953,-87.583697
45,"076XX S CICERO AVE, Chicago, IL",41.7619228,-87.74171369999999
46,"022XX W HURON ST, Chicago, IL",41.8937365,-87.70402899999999
47,"001XX E 120TH PL, Chicago, IL",41.6753341,-87.61908670000001
48,"022XX W BELMONT AVE, Chicago, IL",41.9387617,-87.75176669999999
49,"019XX N HALSTED ST, Chicago, IL",41.9160828,-87.6484419
50,"051XX N Glenwood Ave, Chicago, IL",41.9922066,-87.6651954
51,"028XX W 38TH PL, Chicago, IL",41.8240741,-87.6677962
52,"007XX W BITTERSWEET PL, Chicago, IL",41.9559116,-87.64741289999999
53,"068XX S PAXTON AVE, Chicago, IL",41.7416941,-87.5709463
54,"017XX S PAULINA ST, Chicago, IL",41.8040089,-87.667287
